Time,bitcoin: (India)
2023-12-12T13:54:00+05:30,52
2023-12-12T14:02:00+05:30,46
2023-12-12T14:10:00+05:30,42
2023-12-12T14:18:00+05:30,49
2023-12-12T14:26:00+05:30,45
2023-12-12T14:34:00+05:30,38
2023-12-12T14:42:00+05:30,44
2023-12-12T14:50:00+05:30,47
2023-12-12T14:58:00+05:30,48
2023-12-12T15:06:00+05:30,48
2023-12-12T15:14:00+05:30,47
2023-12-12T15:22:00+05:30,48
2023-12-12T15:30:00+05:30,41
2023-12-12T15:38:00+05:30,40
2023-12-12T15:46:00+05:30,51
2023-12-12T15:54:00+05:30,44
2023-12-12T16:02:00+05:30,38
2023-12-12T16:10:00+05:30,44
2023-12-12T16:18:00+05:30,40
2023-12-12T16:26:00+05:30,33
2023-12-12T16:34:00+05:30,44
2023-12-12T16:42:00+05:30,41
2023-12-12T16:50:00+05:30,42
2023-12-12T16:58:00+05:30,42
2023-12-12T17:06:00+05:30,35
2023-12-12T17:14:00+05:30,35
2023-12-12T17:22:00+05:30,36
2023-12-12T17:30:00+05:30,40
2023-12-12T17:38:00+05:30,35
2023-12-12T17:46:00+05:30,37
2023-12-12T17:54:00+05:30,47
2023-12-12T18:02:00+05:30,37
2023-12-12T18:10:00+05:30,35
2023-12-12T18:18:00+05:30,42
2023-12-12T18:26:00+05:30,37
2023-12-12T18:34:00+05:30,38
2023-12-12T18:42:00+05:30,37
2023-12-12T18:50:00+05:30,38
2023-12-12T18:58:00+05:30,35
2023-12-12T19:06:00+05:30,34
2023-12-12T19:14:00+05:30,40
2023-12-12T19:22:00+05:30,38
2023-12-12T19:30:00+05:30,44
2023-12-12T19:38:00+05:30,36
2023-12-12T19:46:00+05:30,40
2023-12-12T19:54:00+05:30,37
2023-12-12T20:02:00+05:30,35
2023-12-12T20:10:00+05:30,35
2023-12-12T20:18:00+05:30,34
2023-12-12T20:26:00+05:30,36
2023-12-12T20:34:00+05:30,39
2023-12-12T20:42:00+05:30,36
2023-12-12T20:50:00+05:30,36
2023-12-12T20:58:00+05:30,40
2023-12-12T21:06:00+05:30,36
2023-12-12T21:14:00+05:30,38
2023-12-12T21:22:00+05:30,36
